,Retweets,Likes,Tweet
153,147,2644,"🍿 VLOG 𝙐𝙉 𝘿𝙄𝘼 𝘿𝙀 𝙋𝘼𝙍𝙏𝙄𝙏 

⚽️ Relive last night's win!

🔝 @oppo #ShotonOPPO #OPPOFindX5Pro https://t.co/6jdt7J2srM"
154,405,13531,"🔜 𝑵𝑬𝑿𝑻 𝑮𝑨𝑴𝑬
⚽ #GetafeBarça
📆 Sunday, May 15th
⏰ 6:30pm CEST 
🏟 Coliseum Alfonso Pérez
🏆 La Liga | Matchday 37 https://t.co/yaDg4MvFaD"
155,170,5547,"𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐰𝐚𝐭𝐜𝐡:

@DaniAlvesD2 called up to @CBF_Futebol 🇧🇷

🔗 https://t.co/35Qbepu5Hb https://t.co/Pd89rIwCHd"
156,727,18163,Mr. Assist 😎 https://t.co/AybvtuN5fl
157,507,14140,"⚽ @Auba, the goal machine ⚡
 
𝟭𝟱 games ✅
𝟭𝟭 goals ✅"
158,117,2777,"👋 Culers in Sydney! 🇦🇺 

@auba has a message for you!"
159,990,17986,"[MEDICAL NEWS]

Complementary tests on first-team player Ronald Araujo have been successful and he has been discharged from the hospital. The evolution will mark his availability. https://t.co/ocSooh5OfR"
160,1313,11254,"Wishing a wonderful birthday today to Barça Super Legend, Don @andresiniesta8! 💫 https://t.co/jV0y8vAq2h"
161,257,7104,"Ousmane Dembélé is an assist machine 🦿
https://t.co/AT4w4A1C5K"
162,147,5086,👊 Get your Barça jersey with free printing of name and number!
163,230,3882,"G⚽️AL OF THE DAY
🎂 ¡Happy birthday, @OficialGio!
🏡 #MadeInLaMasia https://t.co/6b6DPKzE3q"
164,4647,55478,"🎂 Happy birthday to the one, the only, @andresiniesta8! 🥳 https://t.co/DQUwJHCPLx"
165,187,5094,MATCH REPORT | Barça 3-1 Celta: Eventful win at the Camp Nou
166,147,3450,🎙 @DeJongFrenkie21 talks about Ronald Araujo and Barça's final games of the season https://t.co/1PIyVQbykf
167,158,3440,"❝We are happy to win tonight.❞

      — @Auba, who scored a brace in Barça's 3-1 win over Celta https://t.co/3pCaYdZb0Z"
168,104,2120,🍿 #BarçaCelta Highlights | @Memphis opens the scoring and @Auba closes it out with a brace!
169,115,2199,"❝We were effective.❞

      — Xavi following Barça's 3-1 win over Celta https://t.co/1YG3B1vVSi"
170,381,6276,"❝Més que un Club!❞

      — @Auba https://t.co/3c2AANcdHq"
171,421,8297,"Always hungry 👉🦁👈

🎨: @alpagocreations https://t.co/N4Bgtpbi2Y"
172,607,15411,Two more assists for Dembélé 🔥🔥 https://t.co/Ycedsn5hDz
173,629,19517,The Brace https://t.co/3LoTErcbqK
174,855,13661,"FC Barcelona expresses its condolences after the passing of Joan Bautista Llopis, at the age of 106, who at the time of his death was the oldest former FC Barcelona player. He was played goalkeeper from 1941 to 1943 and appeared in six friendlies. Rest in Peace. https://t.co/4VHrFmoDND"
175,3393,74652,"Thinking of you, Ronald https://t.co/mMs2RKRx82"
176,1660,21245,FULL TIME! #BarçaCelta https://t.co/tDUGDm9ODa
177,78,1628,"🔄 Substitution

↑🟢 @OscarMingueza 
↓🔴 @DaniAlvesD2 
 
#BarçaCelta"
178,113,3017,"🔄 Substitution

↑🟢 @LuukdeJong9 
↓🔴 @Auba 
 
#BarçaCelta https://t.co/0qC0SnUKhS"
179,1278,18521,LATEST NEWS | Ronald Araujo has suffered a concussion and has been taken to the hospital to undergo further testing https://t.co/XdcgtO2dpn
180,2574,37240,"Ronald Araujo is leaving the field in an ambulance after making head-to-head contact with Gavi.

🙏 for @RonaldAraujo_4"
181,94,1921,"🔄 Substitutions

↑🟢 @ANSUFATI 
↓🔴 @Memphis 

↑🟢 @clement_lenglet 
↓🔴 @RonaldAraujo_4 
 
#BarçaCelta"
